system_id,mode,model,chunk_size
section_boolean,section,boolean,
section_tfidf,section,tfidf,
section_bm25,section,bm25,
section_bm25plus,section,bm25plus,
section_pivoted,section,pivoted,
chunk80_boolean,chunk,boolean,80
chunk80_tfidf,chunk,tfidf,80
chunk80_bm25,chunk,bm25,80
chunk80_bm25plus,chunk,bm25plus,80
chunk80_pivoted,chunk,pivoted,80
chunk120_boolean,chunk,boolean,120
chunk120_tfidf,chunk,tfidf,120
chunk120_bm25,chunk,bm25,120
chunk120_bm25plus,chunk,bm25plus,120
chunk120_pivoted,chunk,pivoted,120
chunk200_boolean,chunk,boolean,200
chunk200_tfidf,chunk,tfidf,200
chunk200_bm25,chunk,bm25,200
chunk200_bm25plus,chunk,bm25plus,200
chunk200_pivoted,chunk,pivoted,200
